"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Lebon Régis","SC","12099.00","7688.00","Não","","","","","","",""
"Leme","SP","102412.00","100298.00","Não","","","","","","",""
"Leme do Prado","MG","4915.00","1802.00","Não","","","","","","",""
"Lençóis","BA","11315.00","8771.00","Não","","","","","","",""
"Lençóis Paulista","SP","67859.00","66338.00","Sim","65000.00","2664.00","1080.00","696.00","204.00","168.00","516.00"
"Leoberto Leal","SC","3083.00","751.00","Não","","","","","","",""
"Leopoldina","MG","52532.00","46957.00","Não","","","","","","",""
"Leopoldo de Bulhões","GO","7643.00","4696.00","Não","","","","","","",""
"Leópolis","PR","3984.00","2308.00","Não","","","","","","",""
"Liberato Salzano","RS","5289.00","1187.00","Sim","1187.00","150.00","","","","",""
"Liberdade","MG","5109.00","3697.00","Não","","","","","","",""
"Licínio de Almeida","BA","12406.00","6301.00","Sim","","64.70","18.80","6.80","20.50","0.00","18.60"
"Lidianópolis","PR","3391.00","1746.00","Não","","","","","","",""
"Lima Campos","MA","11867.00","7057.00","Não","","","","","","",""
"Lima Duarte","MG","16671.00","12763.00","Não","","126.00","40.00","51.00","15.00","20.00","0.00"
"Limeira","SP","303682.00","294620.00","Sim","121473.00","519.00","229.00","138.00","116.00","36.00","0.00"
"Limeira do Oeste","MG","7481.00","5447.00","Não","","","","","","",""
"Lindóia","SP","7864.00","7864.00","Não","","340.00","150.00","75.00","75.00","30.00","10.00"
"Lindóia do Sul","SC","4580.00","1904.00","Sim","800.00","52.00","12.00","20.00","9.00","6.00","5.00"
"Lindolfo Collor","RS","5980.00","4905.00","Sim","4905.00","300.00","","","","",""
"Linha Nova","RS","1708.00","438.00","Não","","","","","","",""
"Linhares","ES","170364.00","146566.00","Sim","","235.90","","","","",""
