"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","TOT_COLETADO","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Nova Palma","RS","6,508.00","3,164.00","180.00","Sim","3,164.00","60.00","30.00","10.00","10.00","5.00","5.00"
"Nova Palmeira","PB","4,840.00","2,832.00","","Não","","","","","","",""
"Nova Petrópolis","RS","21,156.00","15,701.00","2791.00","Sim","15,701.00","714.00","136.00","468.00","50.00","60.00","0.00"
"Nova Ponte","MG","15,280.00","13,108.00","","Não","","","","","","",""
"Nova Prata do Iguaçu","PR","10,552.00","6,169.00","","Não","","","","","","",""
"Nova Roma do Sul","RS","3,661.00","1,736.00","270.00","Sim","1,736.00","216.00","86.40","66.90","38.90","23.80","0.00"
"Nova Rosalândia","TO","4,215.00","2,759.00","","Não","","","","","","",""
"Nova Santa Bárbara","PR","4,220.00","3,541.00","180.00","Sim","3,541.00","175.00","95.00","28.00","20.00","30.00","2.00"
"Nova Santa Helena","MT","3,699.00","2,120.00","","Não","","","","","","",""
"Nova Santa Rosa","PR","8,171.00","5,695.00","1122.70","Sim","5,695.00","227.10","150.40","47.30","16.80","12.60","0.00"
"Nova Serrana","MG","99,770.00","94,350.00","","Não","","","","","","",""
"Nova Tebas","PR","5,856.00","2,288.00","750.00","Sim","900.00","144.80","64.80","30.00","18.00","8.00","24.00"
"Nova Trento","SC","14,312.00","10,718.00","1380.00","Sim","8,500.00","750.00","415.00","206.00","107.00","2.00","20.00"
"Nova União","MG","5,718.00","2,956.00","120.00","Sim","2,956.00","96.20","","","","",""
"Nova Venécia","ES","49,780.00","33,342.00","18000.00","Sim","20,754.00","3,280.00","570.00","470.00","560.00","780.00","900.00"
"Nova Veneza","GO","9,684.00","8,370.00","120.00","Sim","3,000.00","84.00","24.00","24.00","24.00","6.00","6.00"
"Nova Viçosa","BA","42,950.00","37,347.00","","Não","","","","","","",""
"Nova Xavantina","MT","21,231.00","17,019.00","","Não","","","","","","",""
"Novo Airão","AM","18,974.00","12,242.00","","Não","","","","","","",""
"Novo Alegre","TO","2,332.00","1,733.00","","Não","","","","","","",""
"Novo Barreiro","RS","4,154.00","1,364.00","","Não","","","","","","",""
"Novo Brasil","GO","2,985.00","1,929.00","60.00","Sim","","44.00","10.00","18.00","2.00","1.00","13.00"
"Novo Cabrais","RS","4,169.00","589.00","","Não","","","","","","",""
"Novo Gama","GO","113,679.00","112,426.00","","Não","","","","","","",""
"Novo Hamburgo","RS","246,452.00","242,180.00","4996.40","Sim","242,180.00","3,556.40","","","","",""
